method,scenario,seed,station_id,cdd_obs,cdd_pred,cdd_abs_error,mean_dry_obs,mean_dry_pred,mean_dry_abs_error,p95_dry_obs,p95_dry_pred,p95_dry_abs_error,n_dry_spells_obs,n_dry_spells_pred
mice,10pct,deterministic,17704,44.0,28.0,16.0,5.162983425414365,3.6806167400881056,1.4823666853262591,17.0,10.349999999999966,6.650000000000034,362,454
mice,10pct,deterministic,17748,44.0,23.0,21.0,5.156424581005586,3.5450643776824036,1.6113602033231826,17.149999999999977,9.75,7.399999999999977,358,466
mice,10pct,deterministic,17750,48.0,45.0,3.0,5.701807228915663,3.953810623556582,1.7479966053590807,19.44999999999999,12.0,7.449999999999989,332,433
mice,20pct,deterministic,17155,45.0,18.0,27.0,5.338888888888889,2.811355311355311,2.5275335775335774,17.0,7.75,9.25,360,546
mice,20pct,deterministic,17704,44.0,23.0,21.0,5.162983425414365,2.864406779661017,2.298576645753348,17.0,8.0,9.0,362,531
mice,20pct,deterministic,17748,44.0,26.0,18.0,5.156424581005586,2.8697318007662833,2.286692780239303,17.149999999999977,9.0,8.149999999999977,358,522
mice,20pct,deterministic,17750,48.0,15.0,33.0,5.701807228915663,2.9303675048355897,2.771439724080073,19.44999999999999,8.0,11.449999999999989,332,517
Precip2Stage,10pct,42,17155,45.0,45.0,0.0,5.338888888888889,5.430594900849858,0.09170601196096939,17.0,17.0,0.0,360,353
Precip2Stage,10pct,42,17704,44.0,44.0,0.0,5.162983425414365,5.095628415300546,0.06735501011381828,17.0,16.75,0.25,362,366
Precip2Stage,10pct,42,17748,44.0,44.0,0.0,5.156424581005586,5.237960339943343,0.08153575893775677,17.149999999999977,18.0,0.8500000000000227,358,353
Precip2Stage,10pct,42,17750,48.0,48.0,0.0,5.701807228915663,5.659701492537313,0.04210573637834969,19.44999999999999,19.30000000000001,0.14999999999997726,332,335
Precip2Stage,20pct,42,17155,45.0,45.0,0.0,5.338888888888889,5.23013698630137,0.10875190258751832,17.0,17.0,0.0,360,365
Precip2Stage,20pct,42,17704,44.0,44.0,0.0,5.162983425414365,5.040431266846361,0.12255215856800383,17.0,16.5,0.5,362,371
Precip2Stage,20pct,42,17748,44.0,44.0,0.0,5.156424581005586,5.296296296296297,0.13987171529071052,17.149999999999977,19.0,1.8500000000000227,358,351
Precip2Stage,20pct,42,17750,48.0,45.0,3.0,5.701807228915663,5.746223564954683,0.04441633603901973,19.44999999999999,18.0,1.4499999999999886,332,331
Precip2Stage,block30d,42,17155,45.0,45.0,0.0,5.338888888888889,5.408571428571428,0.06968253968253979,17.0,17.55000000000001,0.5500000000000114,360,350
Precip2Stage,block30d,42,17704,44.0,44.0,0.0,5.162983425414365,5.235294117647059,0.07231069223269415,17.0,17.0,0.0,362,357
Precip2Stage,block30d,42,17748,44.0,44.0,0.0,5.156424581005586,5.262108262108262,0.10568368110267556,17.149999999999977,19.0,1.8500000000000227,358,351
Precip2Stage,block30d,42,17750,48.0,48.0,0.0,5.701807228915663,5.801223241590214,0.09941601267455091,19.44999999999999,18.69999999999999,0.75,332,327
Precip2Stage,block7d,42,17155,45.0,45.0,0.0,5.338888888888889,5.512893982808023,0.174005093919134,17.0,17.0,0.0,360,349
Precip2Stage,block7d,42,17704,44.0,45.0,1.0,5.162983425414365,5.148760330578512,0.014223094835852379,17.0,17.899999999999977,0.8999999999999773,362,363
Precip2Stage,block7d,42,17748,44.0,45.0,1.0,5.156424581005586,5.2747875354107645,0.1183629544051783,17.149999999999977,17.0,0.14999999999997726,358,353
Precip2Stage,block7d,42,17750,48.0,48.0,0.0,5.701807228915663,5.6716417910447765,0.030165437870886436,19.44999999999999,18.0,1.4499999999999886,332,335
SAITS,10pct,123,17155,45.0,45.0,0.0,5.338888888888889,5.335211267605634,0.0036776212832547728,17.0,16.0,1.0,360,355
SAITS,10pct,123,17704,44.0,44.0,0.0,5.162983425414365,5.36676217765043,0.20377875223606523,17.0,18.599999999999966,1.599999999999966,362,349
SAITS,10pct,123,17748,44.0,44.0,0.0,5.156424581005586,5.153846153846154,0.0025784271594320174,17.149999999999977,17.5,0.35000000000002274,358,351
SAITS,10pct,123,17750,48.0,48.0,0.0,5.701807228915663,5.7682926829268295,0.06648545401116657,19.44999999999999,20.0,0.5500000000000114,332,328
SAITS,10pct,42,17155,45.0,45.0,0.0,5.338888888888889,5.25,0.08888888888888857,17.0,16.0,1.0,360,360
SAITS,10pct,42,17704,44.0,44.0,0.0,5.162983425414365,5.136111111111111,0.026872314303253653,17.0,16.05000000000001,0.9499999999999886,362,360
SAITS,10pct,42,17748,44.0,44.0,0.0,5.156424581005586,4.966759002770083,0.18966557823550279,17.149999999999977,16.0,1.1499999999999773,358,361
SAITS,10pct,42,17750,48.0,48.0,0.0,5.701807228915663,5.734756097560975,0.032948868645312324,19.44999999999999,20.0,0.5500000000000114,332,328
SAITS,10pct,7,17155,45.0,45.0,0.0,5.338888888888889,5.092896174863388,0.24599271402550027,17.0,15.0,2.0,360,366
SAITS,10pct,7,17704,44.0,44.0,0.0,5.162983425414365,5.0777777777777775,0.08520564763658722,17.0,16.05000000000001,0.9499999999999886,362,360
SAITS,10pct,7,17748,44.0,39.0,5.0,5.156424581005586,4.561038961038961,0.595385619966625,17.149999999999977,14.0,3.1499999999999773,358,385
SAITS,10pct,7,17750,48.0,45.0,3.0,5.701807228915663,5.573134328358209,0.12867290055745428,19.44999999999999,19.30000000000001,0.14999999999997726,332,335
SAITS,20pct,123,17155,45.0,45.0,0.0,5.338888888888889,4.85978835978836,0.4791005291005286,17.0,15.149999999999977,1.8500000000000227,360,378
SAITS,20pct,123,17704,44.0,44.0,0.0,5.162983425414365,5.079234972677596,0.0837484527367689,17.0,17.0,0.0,362,366
SAITS,20pct,123,17748,44.0,44.0,0.0,5.156424581005586,4.646437994722955,0.5099865862826309,17.149999999999977,16.0,1.1499999999999773,358,379
SAITS,20pct,123,17750,48.0,45.0,3.0,5.701807228915663,5.861538461538461,0.1597312326227982,19.44999999999999,20.0,0.5500000000000114,332,325
SAITS,20pct,42,17155,45.0,45.0,0.0,5.338888888888889,4.371638141809291,0.9672507470795972,17.0,14.0,3.0,360,409
SAITS,20pct,42,17704,44.0,44.0,0.0,5.162983425414365,4.836898395721925,0.3260850296924396,17.0,16.0,1.0,362,374
SAITS,20pct,42,17748,44.0,43.0,1.0,5.156424581005586,4.25990099009901,0.8965235909065763,17.149999999999977,15.0,2.1499999999999773,358,404
SAITS,20pct,42,17750,48.0,45.0,3.0,5.701807228915663,5.5,0.20180722891566294,19.44999999999999,19.149999999999977,0.30000000000001137,332,338
SAITS,20pct,7,17155,45.0,30.0,15.0,5.338888888888889,4.123515439429929,1.2153734494589594,17.0,13.0,4.0,360,421
SAITS,20pct,7,17704,44.0,44.0,0.0,5.162983425414365,4.6217616580310885,0.5412217673832762,17.0,15.0,2.0,362,386
SAITS,20pct,7,17748,44.0,43.0,1.0,5.156424581005586,3.6502242152466366,1.5062003657589496,17.149999999999977,11.75,5.399999999999977,358,446
SAITS,20pct,7,17750,48.0,45.0,3.0,5.701807228915663,5.0055555555555555,0.6962516733601074,19.44999999999999,15.0,4.449999999999989,332,360
SAITS,block30d,123,17155,45.0,45.0,0.0,5.338888888888889,5.045584045584046,0.29330484330484285,17.0,15.5,1.5,360,351
SAITS,block30d,123,17704,44.0,44.0,0.0,5.162983425414365,5.092957746478874,0.07002567893549116,17.0,16.0,1.0,362,355
SAITS,block30d,123,17748,44.0,44.0,0.0,5.156424581005586,4.8328611898017,0.3235633912038862,17.149999999999977,15.0,2.1499999999999773,358,353
SAITS,block30d,123,17750,48.0,48.0,0.0,5.701807228915663,5.605421686746988,0.09638554216867501,19.44999999999999,18.0,1.4499999999999886,332,332
SAITS,block30d,42,17155,45.0,45.0,0.0,5.338888888888889,5.074498567335244,0.2643903215536447,17.0,16.599999999999966,0.4000000000000341,360,349
SAITS,block30d,42,17704,44.0,44.0,0.0,5.162983425414365,4.969359331476323,0.19362409393804203,17.0,16.0,1.0,362,359
SAITS,block30d,42,17748,44.0,44.0,0.0,5.156424581005586,4.591280653950954,0.5651439270546321,17.149999999999977,15.0,2.1499999999999773,358,367
SAITS,block30d,42,17750,48.0,48.0,0.0,5.701807228915663,5.476047904191617,0.22575932472404592,19.44999999999999,18.0,1.4499999999999886,332,334
SAITS,block30d,7,17155,45.0,45.0,0.0,5.338888888888889,4.956140350877193,0.38274853801169595,17.0,14.949999999999989,2.0500000000000114,360,342
SAITS,block30d,7,17704,44.0,44.0,0.0,5.162983425414365,4.900568181818182,0.26241524359618307,17.0,16.0,1.0,362,352
SAITS,block30d,7,17748,44.0,44.0,0.0,5.156424581005586,4.605714285714286,0.5507102952913003,17.149999999999977,14.550000000000011,2.599999999999966,358,350
SAITS,block30d,7,17750,48.0,45.0,3.0,5.701807228915663,5.173020527859237,0.5287867010564256,19.44999999999999,15.0,4.449999999999989,332,341
SAITS,block7d,123,17155,45.0,45.0,0.0,5.338888888888889,4.8578947368421055,0.4809941520467831,17.0,14.050000000000011,2.9499999999999886,360,380
SAITS,block7d,123,17704,44.0,45.0,1.0,5.162983425414365,5.254237288135593,0.0912538627212287,17.0,19.0,2.0,362,354
SAITS,block7d,123,17748,44.0,45.0,1.0,5.156424581005586,4.735135135135135,0.4212894458704515,17.149999999999977,16.0,1.1499999999999773,358,370
SAITS,block7d,123,17750,48.0,48.0,0.0,5.701807228915663,5.885093167701863,0.18328593878620048,19.44999999999999,20.0,0.5500000000000114,332,322
SAITS,block7d,42,17155,45.0,44.0,1.0,5.338888888888889,4.733681462140992,0.6052074267478966,17.0,14.0,3.0,360,383
SAITS,block7d,42,17704,44.0,45.0,1.0,5.162983425414365,5.008310249307479,0.15467317610688536,17.0,17.0,0.0,362,361
SAITS,block7d,42,17748,44.0,44.0,0.0,5.156424581005586,4.5828877005347595,0.5735368804708267,17.149999999999977,15.0,2.1499999999999773,358,374
SAITS,block7d,42,17750,48.0,48.0,0.0,5.701807228915663,5.541916167664671,0.15989106125099184,19.44999999999999,19.0,0.44999999999998863,332,334
SAITS,block7d,7,17155,45.0,30.0,15.0,5.338888888888889,4.432911392405063,0.9059774964838256,17.0,13.0,4.0,360,395
SAITS,block7d,7,17704,44.0,45.0,1.0,5.162983425414365,4.773584905660377,0.3893985197539873,17.0,14.5,2.5,362,371
SAITS,block7d,7,17748,44.0,38.0,6.0,5.156424581005586,4.146095717884131,1.0103288631214555,17.149999999999977,14.0,3.1499999999999773,358,397
SAITS,block7d,7,17750,48.0,48.0,0.0,5.701807228915663,5.338235294117647,0.3635719347980162,19.44999999999999,17.05000000000001,2.3999999999999773,332,340
SAITS,10pct,123,17155,45.0,45.0,0.0,5.338888888888889,5.335211267605634,0.0036776212832547728,17.0,16.0,1.0,360,355
SAITS,10pct,123,17704,44.0,44.0,0.0,5.162983425414365,5.36676217765043,0.20377875223606523,17.0,18.599999999999966,1.599999999999966,362,349
SAITS,10pct,123,17748,44.0,44.0,0.0,5.156424581005586,5.153846153846154,0.0025784271594320174,17.149999999999977,17.5,0.35000000000002274,358,351
SAITS,10pct,123,17750,48.0,48.0,0.0,5.701807228915663,5.7682926829268295,0.06648545401116657,19.44999999999999,20.0,0.5500000000000114,332,328
SAITS,10pct,42,17155,45.0,45.0,0.0,5.338888888888889,5.25,0.08888888888888857,17.0,16.0,1.0,360,360
SAITS,10pct,42,17704,44.0,44.0,0.0,5.162983425414365,5.136111111111111,0.026872314303253653,17.0,16.05000000000001,0.9499999999999886,362,360
SAITS,10pct,42,17748,44.0,44.0,0.0,5.156424581005586,4.966759002770083,0.18966557823550279,17.149999999999977,16.0,1.1499999999999773,358,361
SAITS,10pct,42,17750,48.0,48.0,0.0,5.701807228915663,5.734756097560975,0.032948868645312324,19.44999999999999,20.0,0.5500000000000114,332,328
SAITS,10pct,7,17155,45.0,45.0,0.0,5.338888888888889,5.092896174863388,0.24599271402550027,17.0,15.0,2.0,360,366
SAITS,10pct,7,17704,44.0,44.0,0.0,5.162983425414365,5.0777777777777775,0.08520564763658722,17.0,16.05000000000001,0.9499999999999886,362,360
SAITS,10pct,7,17748,44.0,39.0,5.0,5.156424581005586,4.561038961038961,0.595385619966625,17.149999999999977,14.0,3.1499999999999773,358,385
SAITS,10pct,7,17750,48.0,45.0,3.0,5.701807228915663,5.573134328358209,0.12867290055745428,19.44999999999999,19.30000000000001,0.14999999999997726,332,335
SAITS,20pct,123,17155,45.0,45.0,0.0,5.338888888888889,4.85978835978836,0.4791005291005286,17.0,15.149999999999977,1.8500000000000227,360,378
SAITS,20pct,123,17704,44.0,44.0,0.0,5.162983425414365,5.079234972677596,0.0837484527367689,17.0,17.0,0.0,362,366
SAITS,20pct,123,17748,44.0,44.0,0.0,5.156424581005586,4.646437994722955,0.5099865862826309,17.149999999999977,16.0,1.1499999999999773,358,379
SAITS,20pct,123,17750,48.0,45.0,3.0,5.701807228915663,5.861538461538461,0.1597312326227982,19.44999999999999,20.0,0.5500000000000114,332,325
SAITS,20pct,42,17155,45.0,45.0,0.0,5.338888888888889,4.371638141809291,0.9672507470795972,17.0,14.0,3.0,360,409
SAITS,20pct,42,17704,44.0,44.0,0.0,5.162983425414365,4.836898395721925,0.3260850296924396,17.0,16.0,1.0,362,374
SAITS,20pct,42,17748,44.0,43.0,1.0,5.156424581005586,4.25990099009901,0.8965235909065763,17.149999999999977,15.0,2.1499999999999773,358,404
SAITS,20pct,42,17750,48.0,45.0,3.0,5.701807228915663,5.5,0.20180722891566294,19.44999999999999,19.149999999999977,0.30000000000001137,332,338
SAITS,20pct,7,17155,45.0,30.0,15.0,5.338888888888889,4.123515439429929,1.2153734494589594,17.0,13.0,4.0,360,421
SAITS,20pct,7,17704,44.0,44.0,0.0,5.162983425414365,4.6217616580310885,0.5412217673832762,17.0,15.0,2.0,362,386
SAITS,20pct,7,17748,44.0,43.0,1.0,5.156424581005586,3.6502242152466366,1.5062003657589496,17.149999999999977,11.75,5.399999999999977,358,446
SAITS,20pct,7,17750,48.0,45.0,3.0,5.701807228915663,5.0055555555555555,0.6962516733601074,19.44999999999999,15.0,4.449999999999989,332,360
WGAN-GP_raw,10pct,42,17155,45.0,30.0,15.0,5.338888888888889,3.770065075921909,1.5688238129669796,17.0,11.0,6.0,360,461
WGAN-GP_raw,10pct,42,17704,44.0,28.0,16.0,5.162983425414365,3.6806167400881056,1.4823666853262591,17.0,10.349999999999966,6.650000000000034,362,454
WGAN-GP_raw,10pct,42,17748,44.0,23.0,21.0,5.156424581005586,3.5450643776824036,1.6113602033231826,17.149999999999977,9.75,7.399999999999977,358,466
WGAN-GP_raw,10pct,42,17750,48.0,45.0,3.0,5.701807228915663,3.928735632183908,1.773071596731755,19.44999999999999,12.0,7.449999999999989,332,435
WGAN-GP_raw,20pct,42,17155,45.0,18.0,27.0,5.338888888888889,2.811355311355311,2.5275335775335774,17.0,7.75,9.25,360,546
WGAN-GP_raw,20pct,42,17704,44.0,23.0,21.0,5.162983425414365,2.864406779661017,2.298576645753348,17.0,8.0,9.0,362,531
WGAN-GP_raw,20pct,42,17748,44.0,26.0,18.0,5.156424581005586,2.8697318007662833,2.286692780239303,17.149999999999977,9.0,8.149999999999977,358,522
WGAN-GP_raw,20pct,42,17750,48.0,15.0,33.0,5.701807228915663,2.922779922779923,2.77902730613574,19.44999999999999,8.0,11.449999999999989,332,518
WGAN-GP_raw,block30d,42,17155,45.0,34.0,11.0,5.338888888888889,4.693939393939394,0.6449494949494943,17.0,15.550000000000011,1.4499999999999886,360,330
WGAN-GP_raw,block30d,42,17704,44.0,37.0,7.0,5.162983425414365,4.589820359281437,0.5731630661329277,17.0,13.349999999999966,3.650000000000034,362,334
WGAN-GP_raw,block30d,42,17748,44.0,39.0,5.0,5.156424581005586,4.5119760479041915,0.6444485331013947,17.149999999999977,14.349999999999966,2.8000000000000114,358,334
WGAN-GP_raw,block30d,42,17750,48.0,38.0,10.0,5.701807228915663,4.8955696202531644,0.8062376086624985,19.44999999999999,15.0,4.449999999999989,332,316
WGAN-GP_raw,block7d,42,17155,45.0,18.0,27.0,5.338888888888889,3.471111111111111,1.8677777777777775,17.0,10.0,7.0,360,450
WGAN-GP_raw,block7d,42,17704,44.0,19.0,25.0,5.162983425414365,3.435374149659864,1.7276092757545007,17.0,10.0,7.0,362,441
WGAN-GP_raw,block7d,42,17748,44.0,28.0,16.0,5.156424581005586,3.4871794871794872,1.669245093826099,17.149999999999977,11.0,6.149999999999977,358,429
WGAN-GP_raw,block7d,42,17750,48.0,21.0,27.0,5.701807228915663,3.669047619047619,2.032759609868044,19.44999999999999,12.0,7.449999999999989,332,420
WGAN-GP_raw,10pct,42,17155,45.0,30.0,15.0,5.338888888888889,3.770065075921909,1.5688238129669796,17.0,11.0,6.0,360,461
WGAN-GP_raw,10pct,42,17704,44.0,28.0,16.0,5.162983425414365,3.6806167400881056,1.4823666853262591,17.0,10.349999999999966,6.650000000000034,362,454
WGAN-GP_raw,10pct,42,17748,44.0,23.0,21.0,5.156424581005586,3.5450643776824036,1.6113602033231826,17.149999999999977,9.75,7.399999999999977,358,466
WGAN-GP_raw,10pct,42,17750,48.0,45.0,3.0,5.701807228915663,3.928735632183908,1.773071596731755,19.44999999999999,12.0,7.449999999999989,332,435
WGAN-GP_raw,20pct,42,17155,45.0,18.0,27.0,5.338888888888889,2.811355311355311,2.5275335775335774,17.0,7.75,9.25,360,546
WGAN-GP_raw,20pct,42,17704,44.0,23.0,21.0,5.162983425414365,2.864406779661017,2.298576645753348,17.0,8.0,9.0,362,531
WGAN-GP_raw,20pct,42,17748,44.0,26.0,18.0,5.156424581005586,2.8697318007662833,2.286692780239303,17.149999999999977,9.0,8.149999999999977,358,522
WGAN-GP_raw,20pct,42,17750,48.0,15.0,33.0,5.701807228915663,2.922779922779923,2.77902730613574,19.44999999999999,8.0,11.449999999999989,332,518
